countrycode,language,isofficial,percentage
LUX,French,True,4.2
MAC,English,False,0.5
MKD,Romani,False,2.3
MWI,Ngoni,False,6.7
MYS,Iban,False,2.8
MLI,Soninke,False,8.7
MRT,Soninke,False,2.7
MUS,Hindi,False,1.2
MEX,Zapotec,False,0.6
FSM,Kosrean,False,7.3
MDA,Gagauzi,False,3.2
MCO,English,False,6.5
MNG,Bajad,False,1.9
MOZ,Lomwe,False,7.8
MMR,Rakhine,False,4.5
NAM,Afrikaans,False,9.5
NRU,Tuvalu,False,8.5
NPL,Tharu,False,5.4
NIC,Sumo,False,0.2
NER,Ful,False,9.7
NGA,Ful,False,11.3
NOR,Swedish,False,0.3
CIV,Kru,False,10.5
PAK,Saraiki,False,9.8
PLW,Chinese,False,1.6
PAN,Cuna,False,2.0
PRY,German,False,0.9
MNP,Korean,False,6.5
POL,Belorussian,False,0.5
FRA,Italian,False,0.4
REU,Malagasy,False,1.4
ROM,German,False,0.4
SWE,Arabic,False,0.8
DEU,Italian,False,0.7
ZMB,Lozi,False,6.4
SEN,Diola,False,5.0
SLE,Kono-vai,False,5.1
SVK,Czech and Moravian,False,1.1
SDN,Beja,False,6.4
FIN,Estonian,False,0.2
CHE,Romansh,True,0.6
TWN,Ami,False,0.6
TZA,Haya,False,5.9
DNK,German,False,0.5
THA,Malay,False,3.6
TGO,Kotokoli,False,5.7
TCD,Kanem-bornu,False,9.0
CZE,Polish,False,0.6
TKM,Kazakh,False,2.0
UGA,Soga,False,8.2
UKR,Bulgariana,False,0.3
HUN,Serbo-Croatian,False,0.2
UZB,Kazakh,False,3.8
BLR,Polish,False,0.6
RUS,Chuvash,False,0.9
VNM,Muong,False,1.5
EST,Belorussian,False,1.4
USA,German,False,0.7
ZWE,Nyanja,False,2.2
AFG,Balochi,False,0.9
AGO,Nyaneka-nkhumbi,False,5.4
AUS,Arabic,False,1.0
BGD,Khasi,False,0.1
BEL,German,True,1.0
BEN,Bariba,False,8.7
BWA,Ndebele,False,1.3
BRA,Indian Languages,False,0.2
BFA,Dagara,False,3.1
ERI,Bilin,False,3.0
ZAF,English,True,8.5
ETH,Somali,False,4.1
PHL,Bicol,False,5.7
GMB,Soninke,False,7.6
GEO,Osseetti,False,2.4
GHA,Gurma,False,3.3
GUM,Japanese,False,2.0
GTM,Mam,False,2.7
GIN,Kpelle,False,4.6
GNB,Malinke,False,6.9
HKG,Chiu chau,False,1.4
IDN,Minangkabau,False,2.4
IND,Tamil,False,6.3
IRQ,Persian,False,0.8
IRN,Luri,False,4.3
ITA,German,False,0.5
AUT,Slovene,False,0.4
JPN,Philippene Languages,False,0.1
YUG,Slovak,False,0.7
CMR,Tikar,False,7.4
CAN,German,False,1.6
KAZ,Uzbek,False,2.3
KEN,Kalenjin,False,10.8
CAF,Sara,False,6.4
CHN,Miao,False,0.7
KGZ,Tatar,False,1.3
COL,Caribbean,False,0.1
COM,Comorian-Swahili,False,0.5
COG,Punu,False,2.9
COD,Zande,False,6.1
LVA,Polish,False,2.1
LBR,Kru,False,7.2
LTU,Ukrainian,False,1.1
LUX,German,True,2.3
MKD,Serbo-Croatian,False,2.0
MYS,English,False,1.6
MLI,Tamashek,False,7.3
MRT,Ful,False,1.2
MUS,Tamil,False,0.8
MEX,Mixtec,False,0.6
FSM,Yap,False,5.8
MDA,Bulgariana,False,1.6
MNG,Buryat,False,1.7
MOZ,Shona,False,6.5
MMR,Mon,False,2.4
NAM,Herero,False,8.0
NRU,English,True,7.5
NPL,Tamang,False,4.9
NER,Kanuri,False,4.4
NGA,Ibibio,False,5.6
NOR,Saame,False,0.0
CIV,[South]Mande,False,7.7
PAK,Urdu,True,7.6
PAN,Embera,False,0.6
MNP,English,True,4.8
FRA,Spanish,False,0.4
REU,Tamil,False,0.0
ROM,Ukrainian,False,0.3
SWE,Spanish,False,0.6
DEU,Greek,False,0.4
ZMB,Chewa,False,5.7
SEN,Malinke,False,3.8
SLE,Bullom-sherbro,False,3.8
SVK,Ukrainian and Russian,False,0.6
SDN,Nuer,False,4.9
FIN,Saame,False,0.0
TWN,Atayal,False,0.4
TZA,Makonde,False,5.9
DNK,English,False,0.3
THA,Khmer,False,1.3
TGO,Ane,False,5.7
TCD,Ouaddai,False,8.7
CZE,German,False,0.5
UGA,Teso,False,6.0
UKR,Hungarian,False,0.3
HUN,Romanian,False,0.1
UZB,Karakalpak,False,2.0
RUS,Bashkir,False,0.7
VNM,Chinese,False,1.4
EST,Finnish,False,0.7
USA,Italian,False,0.6
AGO,Chokwe,False,4.2
AUS,Vietnamese,False,0.8
BGD,Santhali,False,0.1
BEL,Turkish,False,0.9
BEN,Somba,False,6.7
BFA,Dyula,False,2.6
ERI,Saho,False,3.0
ZAF,Tswana,False,8.1
ETH,Sidamo,False,3.2
PHL,Waray-waray,False,3.8
GEO,Abhyasi,False,1.7
GHA,Joruba,False,1.3
GIN,Yalunka,False,2.9
GNB,Mandyako,False,4.9
IDN,Batakki,False,2.2
IND,Urdu,False,5.1
IRN,Mazandarani,False,3.6
ITA,Albaniana,False,0.2
AUT,Polish,False,0.2
JPN,Ainu,False,0.0
YUG,Macedonian,False,0.5
CMR,Mandara,False,5.7
CAN,Polish,False,0.7
KAZ,Tatar,False,2.0
KEN,Gusii,False,6.1
CAF,Mbum,False,6.4
CHN,Uighur,False,0.6
KGZ,Kazakh,False,0.8
COG,Sango,False,2.6
COD,Ngala and Bangi,False,5.8
LVA,Lithuanian,False,1.2
LBR,Mano,False,7.2
MYS,Dusun,False,1.1
MLI,Songhai,False,6.9
MRT,Zenaga,False,1.2
MUS,Marathi,False,0.7
MEX,Otomí,False,0.4
FSM,Wolea,False,3.7
MNG,Dariganga,False,1.4
MOZ,Tswa,False,6.0
MMR,Chin,False,2.2
NAM,Caprivi,False,4.7
NPL,Newari,False,3.7
NGA,Kanuri,False,4.1
PAK,Balochi,False,3.0
PAN,Arabic,False,0.6
MNP,Carolinian,False,4.8
FRA,Turkish,False,0.4
ROM,Serbo-Croatian,False,0.1
SWE,Norwegian,False,0.5
DEU,Polish,False,0.3
ZMB,Nsenga,False,4.3
SEN,Soninke,False,1.3
SLE,Ful,False,3.8
SDN,Zande,False,2.7
TWN,Paiwan,False,0.3
TZA,Nyakusa,False,5.4
DNK,Swedish,False,0.3
THA,Kuy,False,1.1
TGO,Moba,False,5.4
TCD,Hadjarai,False,6.7
CZE,Silesiana,False,0.4
UGA,Lango,False,5.9
UKR,Belorussian,False,0.3
HUN,Slovak,False,0.1
UZB,Tatar,False,1.8
RUS,Chechen,False,0.6
VNM,Khmer,False,1.4
USA,Chinese,False,0.6
AGO,Luvale,False,3.6
AUS,Serbo-Croatian,False,0.6
BGD,Tripuri,False,0.1
BEN,Ful,False,5.6
ZAF,Southsotho,False,7.6
ETH,Walaita,False,2.8
PHL,Pampango,False,3.0
GIN,Loma,False,2.3
IDN,Bugi,False,2.2
IND,Gujarati,False,4.8
IRN,Balochi,False,2.3
ITA,Slovene,False,0.2
AUT,Czech,False,0.2
CMR,Maka,False,4.9
CAN,Spanish,False,0.7
KEN,Meru,False,5.5
CHN,Yi,False,0.6
KGZ,Tadzhik,False,0.8
COD,Rundi,False,3.8
LBR,Loma,False,5.8
MOZ,Chuabo,False,5.7
MMR,Kachin,False,1.4
NAM,San,False,1.9
NPL,Hindi,False,3.0
NGA,Edo,False,3.3
PAK,Hindko,False,2.4
SLE,Kuranko,False,3.4
SDN,Bari,False,2.5
TZA,Chaga and Pare,False,4.9
DNK,Norwegian,False,0.3
TGO,Naudemba,False,4.1
TCD,Tandjile,False,6.5
CZE,Romani,False,0.3
UGA,Lugbara,False,4.7
UKR,Polish,False,0.1
RUS,Mordva,False,0.5
VNM,Nung,False,1.1
USA,Tagalog,False,0.4
AGO,Ambo,False,2.4
AUS,German,False,0.6
ZAF,Tsonga,False,4.3
PHL,Pangasinan,False,1.8
IDN,Banja,False,1.8
IND,Kannada,False,3.9
IRN,Arabic,False,2.2
ITA,Romani,False,0.2
AUT,Romanian,False,0.2
CMR,Masana,False,3.9
CAN,Portuguese,False,0.7
KEN,Nyika,False,4.8
CHN,Tujia,False,0.5
COD,Teke,False,2.7
LBR,Malinke,False,5.1
MOZ,Ronga,False,3.7
MMR,Kayah,False,0.4
NAM,German,False,0.9
NGA,Tiv,False,2.3
